Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAL,AMERICAN AIRLINES GROUP INC,Industrials,Equity,"2,437,603.92",0,"2,437,603.92","166,503.00",14.64,United States,NASDAQ,USD,1,--
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,Communication,Equity,"2,362,394.97",0,"2,362,394.97","29,133.00",81.09,United States,NASDAQ,USD,1,--
WH,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,Equity,"2,349,765.53",0,"2,349,765.53","24,073.00",97.61,United States,New York Stock Exchange Inc.,USD,1,--
UI,UBIQUITI INC,Information Technology,Equity,"2,341,723.93",0,"2,341,723.93","6,643.00",352.51,United States,New York Stock Exchange Inc.,USD,1,--
XP,XP CLASS A INC,Financials,Equity,"2,176,450.90",0,"2,176,450.90","145,582.00",14.95,Brazil,NASDAQ,USD,1,--
SAM,BOSTON BEER INC CLASS A,Consumer Staples,Equity,"2,053,349.28",0,"2,053,349.28","6,546.00",313.68,United States,New York Stock Exchange Inc.,USD,1,--
WU,WESTERN UNION,Financials,Equity,"1,875,835.42",0,"1,875,835.42","170,221.00",11.02,United States,New York Stock Exchange Inc.,USD,1,--
MTDR,MATADOR RESOURCES,Energy,Equity,"1,879,951.84",0,"1,879,951.84","31,564.00",59.56,United States,New York Stock Exchange Inc.,USD,1,--
DOCS,DOXIMITY INC CLASS A,Health Care,Equity,"1,694,651.99",0,"1,694,651.99","31,741.00",53.39,United States,New York Stock Exchange Inc.,USD,1,--
SPR,SPIRIT AEROSYSTEMS INC CLASS A,Industrials,Equity,"1,665,145.64",0,"1,665,145.64","51,188.00",32.53,United States,New York Stock Exchange Inc.,USD,1,--
RLI,RLI CORP,Financials,Equity,"1,603,595.28",0,"1,603,595.28","8,897.00",180.24,United States,New York Stock Exchange Inc.,USD,1,--
MKSI,MKS INSTRUMENTS INC,Information Technology,Equity,"1,562,071.56",0,"1,562,071.56","13,903.00",112.36,United States,NASDAQ,USD,1,--
UWMC,UWM HOLDINGS CORP CLASS A,Financials,Equity,"1,501,793.92",0,"1,501,793.92","228,932.00",6.56,United States,New York Stock Exchange Inc.,USD,1,--
CGNX,COGNEX CORP,Information Technology,Equity,"1,316,410.20",0,"1,316,410.20","32,820.00",40.11,United States,NASDAQ,USD,1,--
NFE,NEW FORTRESS ENERGY INC CLASS A,Energy,Equity,"1,275,709.44",0,"1,275,709.44","121,728.00",10.48,United States,NASDAQ,USD,1,--
LBRDA,LIBERTY BROADBAND CORP SERIES A,Communication,Equity,"1,254,604.00",0,"1,254,604.00","14,950.00",83.92,United States,NASDAQ,USD,1,--
MSGS,MADISON SQUARE GARDEN SPORTS CORP,Communication,Equity,"1,203,973.05",0,"1,203,973.05","5,255.00",229.11,United States,New York Stock Exchange Inc.,USD,1,--
IRDM,IRIDIUM COMMUNICATIONS INC,Communication,Equity,"1,141,405.60",0,"1,141,405.60","38,561.00",29.6,United States,NASDAQ,USD,1,--
SEE,SEALED AIR,Materials,Equity,"1,025,229.60",0,"1,025,229.60","28,290.00",36.24,United States,New York Stock Exchange Inc.,USD,1,--
CC,CHEMOURS,Materials,Equity,"851,394.58",0,"851,394.58","39,019.00",21.82,United States,New York Stock Exchange Inc.,USD,1,--
UHAL,U HAUL HOLDING,Industrials,Equity,"799,454.05",0,"799,454.05","11,189.00",71.45,United States,New York Stock Exchange Inc.,USD,1,--
PPC,PILGRIMS PRIDE CORP,Consumer Staples,Equity,"689,455.84",0,"689,455.84","13,658.00",50.48,United States,NASDAQ,USD,1,--
PYCR,PAYCOR HCM INC,Industrials,Equity,"453,757.64",0,"453,757.64","25,028.00",18.13,United States,NASDAQ,USD,1,--
ALAB,ASTERA LABS INC,Information Technology,Equity,"385,053.60",0,"385,053.60","3,866.00",99.6,United States,NASDAQ,USD,1,--
TRIP,TRIPADVISOR INC,Communication,Equity,"284,664.90",0,"284,664.90","20,189.00",14.1,United States,NASDAQ,USD,1,--
FTRE,FORTREA HOLDINGS INC,Health Care,Equity,"76,933.50",0,"76,933.50","3,570.00",21.55,United States,NASDAQ,USD,1,--
RGYZ4,RUSSELL1000 GRWTH MINI CME DEC 24,Cash and/or Derivatives,Futures,0,0,"190,959,780.00",957,"3,990.80",--,Chicago Mercantile Exchange,USD,1,--
MARGIN_USD,FUTURES USD MARGIN BALANCE,Cash and/or Derivatives,Cash Collateral and Margins,"-1,387,650.00",0,"-1,387,650.00","-1,387,650.00",100,United States,--,USD,1,"Jan 01, 2000"
